DPF,BMEN13215221,06BMEN1100,0.0385169801,1,305,305,102505.0112,102505.0112,N,102505.0112,AAA,26-08-21
DPF,BMEN13215321,06BMEN1200,0.0385169801,1,305,305,102505.0112,102505.0112,N,102505.0112,AAA,26-08-21
DPF,BMEN13215421,06BMEN1100,0.0385169801,1,305,305,102505.0112,102505.0112,N,102505.0112,AAA,26-08-21
DPF,BMEN13215521,06BMEN1100,0.0385169801,1,305,305,102505.0112,102505.0112,N,102505.0112,AAA,26-08-21
DPF,BMEN13215621,06BMEN1100,0.0385169801,1,305,305,102505.0112,102505.0112,N,102505.0112,AAA,26-08-21
DPF,BECN03063421,06BECN0700,0.0317067817,1,210,210,50924.7844,50924.7844,N,50924.7844,AA3,21-09-21
DPF,BECN03063521,06BECN0700,0.0317067817,1,210,210,50924.7844,50924.7844,N,50924.7844,AA3,21-09-21
DPF,BECN03063621,06BECN0700,0.0317067817,1,210,210,50924.7844,50924.7844,N,50924.7844,AA3,21-09-21
DPF,BECN03063721,06BECN0700,0.0317067817,1,210,210,50924.7844,50924.7844,N,50924.7844,AA3,21-09-21
DPF,BECN03063821,06BECN0700,0.0317067817,1,210,210,50924.7844,50924.7844,N,50924.7844,AA3,21-09-21
DPF,BECN03063921,06BECN0700,0.0317067817,1,210,210,50924.7844,50924.7844,N,50924.7844,AA3,21-09-21
DPF,BMEN12539821,06BMEN1300,0.0459561028,1,364,364,222916.9014,222916.9014,N,222916.9014,AAA,27-04-21
DPF,BUNN44056921,06BUNN0700,0.0405386304,1,184,184,176471.6231,176471.6231,N,176471.6231,AAA,28-09-21
DPF,BUNN44059121,06BUNN0700,0.0454207651,1,184,184,206367.4967,206367.4967,N,206367.4967,AAA,28-09-21
DPF,BUNN44069821,06BUNN0700,0.0444328116,1,189,189,206400.8018,206400.8018,N,206400.8018,AAA,28-09-21
DPF,BUNN44073321,06BUNN0700,0.0424892453,1,189,189,154955.109,154955.109,N,154955.109,AAA,28-09-21
DPF,BUNN44069021,06BUNN0700,0.0454237027,1,189,189,288814.2972,288814.2972,N,288814.2972,AAA,29-09-21
DPF,BUNN44098021,06BUNN0700,0.0454237027,1,189,189,165014.3886,165014.3886,N,165014.3886,AAA,29-09-21
DPF,BUNN44066121,06BUNN0700,0.0454264290,1,185,185,258958.5462,258958.5462,N,258958.5462,AAA,30-09-21
DPF,BUNN44107021,06BUNN0700,0.0454265227,1,189,189,177193.8376,177193.8376,N,177193.8376,AAA,30-09-21
DPF,BUNN44107221,06BUNN0700,0.0454265227,1,189,189,309359.6061,309359.6061,N,309359.6061,AAA,30-09-21
DPF,BUNN44257121,06BUNN0700,0.0436540215,1,203,203,301708.9277,301708.9277,N,301708.9277,AAA,20-10-21
DPF,BUNN44320621,06BUNN0700,0.0441160358,1,210,210,154416.4036,154416.4036,N,154416.4036,AAA,20-10-21
DPF,BUNN44284921,06BUNN0700,0.0437251794,1,205,205,360549.7304,360549.7304,N,360549.7304,AAA,21-10-21
DPF,BUNN44325721,06BUNN0700,0.0439112289,1,210,210,308826.9341,308826.9341,N,308826.9341,AAA,21-10-21
DPF,BUNN44340321,06BUNN0800,0.0435291843,1,211,211,188403.1617,188403.1617,N,188403.1617,AAA,22-10-21
BBB,FEF-4-N1U-21,02FEF20P0,0.0649000000,100,1255,857,10011.24,1001124,N,1001124,A1,10-11-21
